Vert_Group,Order,Genus,Species,Common_name,Population_1,Population_2,Population_3,Latitude,Longitude,LatLongEst,Elevation,Years,Year_1,Year_final,Breeding_Cycle,Moult,Life_Stage,LifeHistConf,Jan_Sampled,Feb_Sampled,Mar_Sampled,Apr_Sampled,May_Sampled,June_Sampled,July_Sampled,Aug_Sampled,Sept_Sampled,Oct_Sampled,Nov_Sampled,Dec_Sampled,Time_min,Time_max,CaptureMethod,SampleMethod,MaxLatency_A,MaxLate_Cort,LateStressCort,StressorType,MajorStressPop,Method,A_AntibodyKit,Cort_AntibodyKit,CORT,Androgen,M_A_Mean,M_A_SE,M_A_CV,M_A_N,M_A_Min,M_A_Max,M_A_RemoveOutlier,F_A_Mean,F_A_SE,F_A_CV,F_A_N,F_A_Min,F_A_Max,F_A_RemoveOutlier,M_BC_Mean,M_BC_SE,M_BC_CV,M_BC_N,M_BC_Min,M_BC_Max,M_BC_RemoveOutlir,F_BC_Mean,F_BC_SE,F_BC_CV,F_BC_N,F_BC_Min,F_BC_Max,F_BC_RemoveOutlir,M_SC_Mean,M_SC_SE,M_SC_CV,M_SC_N,M_SC_Min,M_SC_Max,M_SC_RemoveOutlier,F_SC_Mean,F_SC_SE,F_SC_CV,F_SC_N,F_SC_Min,F_SC_Max,F_SC_RemoveOutlier,OutlierCriteria,Notes,Lab_ID,Ref_ID,Migratory_Status,Mixed_Status_Species,Notes_Migration,Additional_Sources_Migration
Bird,Accipitriformes,Accipiter,cooperii,Cooper's hawk,"Idaho Bird Observatory, Boise, Idaho, USA",null,null,43.75,-115.2833,Reported,2470,null,null,null,Nonbreeding,null,Migration,Y,N,N,N,N,N,N,N,Y,Y,Y,N,N,11:00,18:00,"mist net, bow nets, dho-gaza nets, baited with turtle doves or house sparrows",Attractant,null,3,30,Restraint,null,RIA,null,null,corticosterone,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55.77,7.59,72.01453273,28,null,null,null,40.62,4.55,60.32127,29,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Data characterized by hatch year,Dufty,293,Migratory,Yes,,https://peregrinefund.org/explore-raptors-species/hawks/coopers-hawk
Bird,Accipitriformes,Accipiter,cooperii,Cooper's hawk,"Idaho Bird Observatory, Boise, Idaho, USA",null,null,43.75,-115.2833,Reported,2470,null,null,null,Nonbreeding,null,Migration,Y,N,N,N,N,N,N,N,Y,Y,Y,N,N,11:00,18:00,"mist net, bow nets, dho-gaza nets, baited with turtle doves or house sparrows",Attractant,null,3,30,Restraint,null,RIA,null,null,corticosterone,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,66.44,10.88,49.12703191,9,null,null,null,41.12,8.21,71.98826841,13,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Data characterized by after hatch year,Dufty,293,Migratory,Yes,,https://peregrinefund.org/explore-raptors-species/hawks/coopers-hawk
Bird,Accipitriformes,Accipiter,gentilis,Northern goshawk,"Idaho Bird Observatory, Boise, Idaho, USA",null,null,43.75,-115.2833,Reported,2470,null,null,null,Nonbreeding,null,Migration,Y,N,N,N,N,N,N,N,Y,Y,Y,N,N,11:00,18:00,"mist net, bow nets, dho-gaza nets, baited with turtle doves or house sparrows",Attractant,null,3,30,Restraint,null,RIA,null,null,corticosterone,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.67,4.81,48.63498483,9,null,null,null,28.67,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Data characterized by after hatch year,Dufty,293,Migratory,Yes,"BOW notes that this species is mainly sedentary, with partial migration in northern populations; overall, migration is poorly understood. This species is now classified as the American goshawk (Accipiter atricapillus). Accipiter gentilis is the Eurasian goshawk. These species recently underwent review and reclassification by the American Ornithological Society based on new genetic evidence -- they were once considered the same species but are now considered separate.",
Bird,Accipitriformes,Accipiter,striatus,Sharp-shinned hawk,"Idaho Bird Observatory, Boise, Idaho, USA",null,null,43.75,-115.2833,Reported,2470,null,null,null,Nonbreeding,null,Migration,Y,N,N,N,N,N,N,N,Y,Y,Y,N,N,11:00,18:00,"mist net, bow nets, dho-gaza nets, baited with turtle doves or house sparrows",Attractant,null,3,30,Restraint,null,RIA,null,null,corticosterone,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31.61,4.94,95.061205,37,null,null,null,25.72,1.86,61.78789645,73,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Data characterized by hatch year,Dufty,293,Migratory,Yes,Partial migrant in some parts of range. Birds that breed in the north migrate; others may be resident.,
Bird,Accipitriformes,Accipiter,striatus,Sharp-shinned hawk,"Idaho Bird Observatory, Boise, Idaho, USA",null,null,43.75,-115.2833,Reported,2470,null,null,null,Nonbreeding,null,Migration,Y,N,N,N,N,N,N,N,Y,Y,Y,N,N,11:00,18:00,"mist net, bow nets, dho-gaza nets, baited with turtle doves or house sparrows",Attractant,null,3,30,Restraint,null,RIA,null,null,corticosterone,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.65,4.09,41.38279933,9,null,null,null,29.07,1.86,34.45616285,29,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Data characterized by after hatch year,Dufty,293,Migratory,Yes,Partial migrant in some parts of range. Birds that breed in the north migrate; others may be resident.,
Bird,Charadriiformes,Aethia,cristatella,Crested auklet,"Yukon Harbor, Big Koniuji Island, Alaska, USA",null,null,55.066,-159.529,Reported,70,2002,2002,2002,Breeding,null,"Incubation, Young care",Y,N,N,N,N,N,Y,Y,N,N,N,N,N,null,null,captured with noose carpets,Active,null,3,30,Restraint,null,RIA,null,null,corticosterone,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7.69,0.82,63.08433579,35,1.25,19.28,N,6.24,1.07,70.70068941,17,1.61,20.89,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Stresscort presented but pooled across sexes; incubation and early chick rearing,Wingfield,80,Unknown,Unknown,"Very little is known about migration. Some individuals must migrate because they breed in areas that are covered with ice in the winter. However, crested auklets are found yearround in this location, so this population is listed as ""unknown"" for both Migratory_Status and Mixed_Status_Species. Some studies in Buldir, Alaska indicate the species is migratory, but the sample sizes are small and these studies were conducted at a different location.",
Bird,Passeriformes,Agelaius,phoeniceus,Red-winged blackbird,"Queen's University Biological Station, Elgin, Ontario, Canada",null,null,44.567,-76.325,Reported,130,2014,2014,2014,Breeding,N,Incubation,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,5:30,10:30,"mist net at nest, potter trap on nest",Active,null,3,null,null,null,RIA,null,Esoterix B3–163 ,corticosterone,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4.32,0.46,49.94424189,22,1.32,8.76,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Female baseline CORT is negatively correlated with incubation effort, but not linked to hatching success",IT Moore,445,Migratory,Yes,Populations that breed in southern and western US believed to be nonmigratory.,
Bird,Passeriformes,Agelaius,phoeniceus,Red-winged blackbird,"Queen's University Biological Station, Elgin, Ontario, Canada",null,null,44.567,-76.325,Reported,130,2015,2015,2015,Breeding,N,Incubation,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,5:30,10:30,"mist net at nest, potter trap on nest",Active,null,3,null,null,null,RIA,null,Esoterix B3–163 ,corticosterone,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7.05,0.94,56.56854249,18,2.76,16.94,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Female baseline CORT is negatively correlated with incubation effort, but not linked to hatching success",IT Moore,445,Migratory,Yes,Populations that breed in southern and western US believed to be nonmigratory.,
Bird,Passeriformes,Agelaius,phoeniceus,Red-winged blackbird,"Queen's University Biological Station, Elgin, Ontario, Canada","Kingston, Ontario, Canada",null,44.567,-76.325,Reported,130,2013,2013,2013,Breeding,N,Incubation,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,5:00,11:00,mist net at nest,Active,null,3,null,null,null,RIA,null,Esoterix B3–163 ,corticosterone,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,14.16,2.98,96.44121166,21,1.88,48.94,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,IT Moore,446,Migratory,Yes,Populations that breed in southern and western US believed to be nonmigratory.,
Bird,Passeriformes,Agelaius,phoeniceus,Red-winged blackbird,"Queen's University Biological Station, Elgin, Ontario, Canada","Kingston, Ontario, Canada",null,44.567,-76.325,Reported,130,2013,2013,2013,Breeding,N,Young care,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,5:00,9:00,mist net at nest,Active,null,3,null,null,null,RIA,null,Esoterix B3–163 ,corticosterone,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13.95,3.32,82.44313521,12,5.84,45.14,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,IT Moore,446,Migratory,Yes,Populations that breed in southern and western US believed to be nonmigratory.,
