"Latitude","Longitude","Pop_ID"
44.567,-76.325,"44.567_-76.325_Agelaius_phoeniceus"
39.11,-86.26,"39.11_-86.26_Agelaius_phoeniceus"
46.930956,-119.247314,"46.930956_-119.247314_Agelaius_phoeniceus"
77,15.543,"77_15.543_Alle_alle"
33.3542775,-108.0598438,"33.3542775_-108.0598438_Amphispiza_bilineata"
27.3667,-81.2184,"27.3667_-81.2184_Aphelocoma_coerulescens"
27.16,-81.35,"27.16_-81.35_Aphelocoma_coerulescens"
27.166,-81.35,"27.166_-81.35_Aphelocoma_coerulescens"
27.167,-81.35,"27.167_-81.35_Aphelocoma_coerulescens"
-46.433,51.867,"-46.433_51.867_Aptenodytes_patagonicus"
42.405,-85.401,"42.405_-85.401_Bombycilla_cedrorum"
70,-150,"70_-150_Calcarius_lapponicus"
68.628,-149.595,"68.628_-149.595_Calcarius_lapponicus"
76.533,-68.833,"76.533_-68.833_Calcarius_lapponicus"
71.323,-156.609,"71.323_-156.609_Calcarius_lapponicus"
47.533,-112.45,"47.533_-112.45_Calcarius_mccownii"
47.667,-111.45,"47.667_-111.45_Calcarius_ornatus"
68.633,-149.633,"68.633_-149.633_Calcarius_pictus"
63.987,-81.697,"63.987_-81.697_Calidris_fuscicollis"
64.433333,-164.933333,"64.433333_-164.933333_Calidris_mauri"
71.316667,-156.633333,"71.316667_-156.633333_Calidris_melanotos"
71.316667,-156.633333,"71.316667_-156.633333_Calidris_pusilla"
70.3028,-148.268,"70.3028_-148.268_Calidris_pusilla"
64.43422,-164.933333,"64.43422_-164.933333_Calidris_pusilla"
33.52837,-112.0763,"33.52837_-112.0763_Callipepla_gambelii"
27.845,-15.79,"27.845_-15.79_Calonectris_diomedea"
32.69071429,-111.2614743,"32.69071429_-111.2614743_Campylorhynchus_brunneicapillus"
9.117,-79.7,"9.117_-79.7_Cantorchilus_leucotis"
34.337,-110.937,"34.337_-110.937_Cardellina_rubrifrons"
42.405,-85.401,"42.405_-85.401_Cardinalis_cardinalis"
31.32,-89.31,"31.32_-89.31_Cardinalis_cardinalis"
31.35,-89.42,"31.35_-89.42_Cardinalis_cardinalis"
31.2,-97.8,"31.2_-97.8_Cardinalis_cardinalis"
-66.663,140,"-66.663_140_Catharacta_maccormicki"
44.5,-123.6,"44.5_-123.6_Catharus_ustulatus"
43.333333,142.5,"43.333333_142.5_Cettia_diphone"
